"sigla_evento";"nome_evento";"estrato"
IEEE VIS;IEEE Visualization;A1
VTS;IEEE VLSI Test Symposium;A4
"21CW";IEEE Conference on Norbert Wiener in the 21st Century;B2
"3DCVE";International Workshop on Collaborative Virtual Environments;B3
"3DIC";International 3D System Integration Conference;B1
"3DIPM";Three-Dimensional Image Processing, Measurement and Applications;B3
"3DOR";Eurographics Workshop on 3D Object Retrieval;B2
"3DTV";"3DTV Conference: The True Vision-Capture, Transmission and Display of 3D Video";B2
"3DUI";IEEE Symposium on 3D User Interfaces;A3
"3DV";International Conference on 3D Vision;A2
"3PGCIC";International Conference on P2P, Parallel, Grid, Cloud and Internet Computing;B1
A-TEST;EST - International Workshop on Automating Test Case Design, Selection and Evaluation;B4
AAAI;Conference on Artificial Intelligence;A1
AAATE;Association for the Advancement of Assistive Technology in Europe Congress;B4
AAMAS;International Conference on Autonomous Agents and Multiagent Systems;A1
ABCIBER;Congresso Brasileiro de Pesquisadores em Cibercultura;B4
ABZ;International ABZ Conference ASM, Alloy, B, TLA, VDM, Z;A4
AC-HCI;International Conference on Augmented Cognition;A4
ACC;American Control Conference;A1
ACCV;Asian Conference on Computer Vision;A2
ACE;International Conference on Advances in Computer Entertainment Technology;B1
ACE-X;International Conference on Advanced Computational Engineering and Experimenting;B4
ACHI-IARIA;IARIA International Conference on Advances in Computer-Human Interactions;B4
ACII;International Conference on Affective Computing and Intelligent Interaction;A3
ACIRS;Asia-Pacific Conference on Intelligent Robot Systems;B4
ACISP;Australasian Conference on Information Security and Privacy;A4
ACIVS;Advanced Concepts for Intelligent Vision Systems;B2
ACL;Annual Meeting of the Association for Computational Linguistics;A1
ACM CC;Creativity & Cognition;B1
ACM CCS;ACM Symposium on Computer and Communications Security;A1
ACM CHI PLAY;Annual Symposium on Computer-Human Interaction in Play;A3
ACM DocEng;ACM Symposium on Document Engineering;B1
ACM SIGSPATIAL;ACM International Conference on Advances in Geographic Information Systems;A2
ACM TVX;International Conference on Experiences for TV and Online Video;A3
ACMIDC;ACM Interaction Design and Children;A2
ACMMM;ACM International Conference on Multimedia;A1
ACMSOCC;ACM Symposium on Cloud Computing;A1
ACNS;Applied Cryptography and Network Security;A3
ACRA;Australasian Conference on Robotics and Automation;B3
ACRI;International conference on Cellular Automata for Research and Industry;B3
ACSAC;Computer Security Applications Conference;A2
ADBIS;East European Conference on Advances in Databases and Information Systems;A4
ADHOC-NOW;OW - International Conference on Ad-Hoc Networks and Wireless;B2
ADVANCE;International Workshop on ADVANCEs in ICT Infrastructures and Services;B4
ADVCOMP-IARIA;IARIA International Conference on Advanced Engineering Computing and Applications in Sciences;B4
AES;International Convention of the Audio Engineering Society;B3
AES Brasil;Congresso de Engenharia de Áudio da Audio Engineering Society Brasil.;B4
AES-ICSA;AES International Conference on Semantic Audio;B2
AGERE;Workshop on Programming based on Actors, Agents, and Decentralized Control;B3
AGI;Conference on Artificial General Intelligence;B2
AGILE;Agile Conference;A3
AGILEGIS;Conference on Geographic Information Science;B3
AH;Augmented Human International Conference;A3
AHS;NASA/ESA Conference on Adaptive Hardware and Systems;B2
AI;Canadian Conference on Artificial Intelligence;B2
AICCSA;ACS/IEEE International Conference on Computer Systems and Applications;B2
AICT;International Conference on Application of Information and Communication Technologies;B3
AICT-IARIA;IARIA Advanced International Conference on Telecommunications;B4
AIED;Intternational Conference on Artificial Intelligence in Education;A3
AIIDE;AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment;A3
AIM;IEEE/ASME International Conference on Advanced Intelligent Mechatronics;A4
AIME;Conference on Artificial Intelligence in Medicine;A4
AIML;Advances in Modal Logic;B3
AIMS;International Conference on Autonomous Infrastructure, Management and Security;B2
AINA;IEEE International Conference on Advanced Information Networking and Applications;A2
AINAW;IEEE International Conference on Advanced Information Networking and Applications Workshops;A2
AIPR;Applied Imagery Pattern Recognition Workshop;B2
AISEC;ACM Workshop on Artificial Intelligence and Security;A4
AISTATS;International Conference on Artificial Intelligence and Statistics;A1
AlCoB;International Conference on Algorithms for Computational Biology;B1
ALIO/EURO;Workshop on Applied Combinatorial Optimization;B4
ALLERTON;Allerton Conference on Communication, Control, and Computing;A2
AM;Audio Mostly on Interaction With Sound;B3
AMCIS;Americas Conference on Information Systems;A3
AMD;Workshop on Analysis of Movement Data;B4
AMIA;Annual Symposium of the American Medical Informatics Association;A3
AMW;Alberto Mendelzon International Workshop on Foundations of Data Management;B2
ANCS;ACM/IEEE Symposium on Architectures for Networking and Communications Systems;A4
ANPPOM;Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música;B3
ANTS;IEEE International Conference on Advanced Networks and Telecommuncations Systems;B1
AOFA;International Conference on Probabilistic, Combinatorial and Asymptotic Methods for the Analysis of Algorithms;B4
APCASE;Asia-Pacific Conference on Computer Aided System Engineering;B3
APCCAS;IEEE Asia Pacific Conference on Circuits and Systems;B3
APLAS;Asian Symposium on Programming Languages and Systems;B1
APNOMS;Asia-Pacific Network Operations and Management Symposium;B1
APPROX-RANDOM;APPROX-RANDOM;A3
APWEB;Asia-Pacific Web Conference;B3
ARC;International Symposium on Applied Reconfigurable Computing;B2
ARCS;International Conference on Architecture of Computing Systems;B1
ARES;International Conference on Availability, Reliability and Security;A4
ARGMAS;International Workshop on Argumentation in Multiagent Systems;B4
ARIC;International Workshop on Intelligent and Resilient Cities;B4
ARM;Workshop on Adaptive and Reflective Middleware;B3
ARMS-CC;International Workshop on Adaptive Resource Management and Scheduling for Cloud Computing;B3
ARSO;IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO);B2
ARVO;Association for Research in Vision and Ophthalmology Annual Meeting;B4
ASAP;IEEE International Conference on Application-specific Systems, Architectures and Processors;A4
ASE;IEEE/ACM International Conference on Automated Software Engineering;A1
ASIACCS;ACM ASIA Symposium on Information, Computer and Communications Security;A1
ASIACRYPT;Annual International Conference on the Theory and Applications of Cryptology and Information Security;A1
ASIACSS;ACM on Asia Conference on Computer and Communications Security;A1
ASID;International Conference on Anti-counterfeiting, Security, and Identification in Communication;B4
ASMS;Advanced Satellite Multimedia Systems Conference;B1
ASONAM;IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining;A2
ASP-DAC;Asia and South Pacific Design Automation Conference;A2
ASPLOS;International Conference on Architectural Support for Programming Languages and Operating Systems;A1
ASPRS;Annual Conference and International Lidar Mapping Forum;B4
ASSETS;International ACM SIGACCESS Conference on Computers and Accessibility;A3
AST;IEEE/ACM International Workshop on Automation of Software Testing;B4
ASYNC;IEEE International Symposium on Asynchronous Circuits and Systems;B1
ATT;International Workshop on Agents in Traffic and Transportation;B4
ATVA;International Symposium on Automated Technology for Verification and Analysis;A4
AUDIOMOSTLY;Audio Mostly Conference;B2
AVI;International Working Conference on Advanced Visual Interfaces;B1
AVSS;IEEE International Conference on Advanced Video and Signal Based Surveillance;A3
BCB;ACM International Conference on Bioinformatics and Computational Biology and Health Informatics;A4
BCS-HCI;Conference of the British Computer Society Human Computer Interaction Specialist Group;B1
BDCLOUD;International Conference on Big Data and Cloud Computing;B1
BEDS;ACM International Conference on Distributed Event-Based Systems;A3
BIATA;Bioinformatics: from Algorithms to Applications;B3
BIBE;IEEE International Conference on BioInformatics and BioEngineering;A3
BIBM;IEEE International Conference on Bioinformatics and Biomedicine;A3
BIGDATA;IEEE International Congress on BigData;A2
BIGDATASECURITY;IEEE International Conference on Big Data Security on Cloud;B2
BIGDATASERVICE;IEEE International Conference on Big Data Computing Service and Applications;B1
BIGDSE;IEEE/ACM International Workshop on Big Data Software Engineering;B2
BIGDSSAGRO;International Conference on Agro BigData and Decision Support Systems in Agriculture;B4
BIGMM;IEEE International Conference on Multimedia Big Data;B2
BigSpatial;ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data;B2
BIH;International Conference on Brain Informatics and Health;B2
BioCOMP-WC;International Conference on Bioinformatics & Computational Biology;B3
BioRob;IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics;A3
BIOSENSORS;World Congress on Biosensors;B4
BIOSIG;International Conference of the Biometrics Special Interest Group;B1
BIR;International Conferences on Perspectives in Business Informatics Research;B2
BMAW;Bayesian Modeling Applications Workshop;B4
BMEI;International Conference BioMedical Engineering and Informatics;B2
BMSB;IEEE International Symposium on Broadband Multimedia Systems and Broadcasting;B1
BMVC;British Machine Vision Conference;A1
BNAIC;Benelux Conference on Artificial Intelligence;B4
NFM;NASA Formal Methods Symposium;A3
BPM;International Conference on Business Process Management;A2
BPMS2;Workshop on Social and Human Aspects of Business Process Management;B4
BRACIS;Brazilian Conference on Intelligent System;A4
BRAHUR;Brazilian Humanoid Robot Workshop;B4
BRASERO;Brazilian Workshop on Service Robotics;B4
BraSNAM;Brazilian Workshop on Social Network Analysis and Mining;B3
BRC;ISSNIP Biosignals and Biorobotics Conference;B2
BRESCI;Brazilian e-Science Workshop;B4
BSB;Brazilian Symposium on Bioinformatics;B1
BSN;IEEE-EMBS INTERNATIONAL CONFERENCE ON WEARABLE AND IMPLANTABLE BODY SENSOR NETWORKS;A3
BTAS;IEEE International Conference on Biometrics: Theory, Applications, and Systems;A3
C4BIE;International Workshop on Cloud for Business, Industry and Enterprises;B4
CAAD;Computer-Aided Architectural Design Futures Conference;B3
CAD;International CAD Conference;B2
CADE;International Conference on Automated Deduction;A3
CADGRAPHICS;International Conference on Computer-Aided Design and Computer Graphics;B3
CAIP;International Conference on Computer Analysis of Images and Patterns;A4
CAISE;International Conference on Advanced Information Systems Engineering;A3
CAiSE-Forum;CAiSE Forum;B3
CAMAD;IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks;B1
CANDAR;International Symposium on Computing and Networking;B3
CANS;International Conference on Cryptology and Network Security;A3
CARE;Workshop on Collaborative Agents Research and Development;B4
